"path","ownership","subsystem","review_status","what_reviewed","related_perf_ids"
".editorconfig","first_party_build_repository","repository_misc","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
".codex/config.toml","user_untracked_baseline","repository_baseline","HASHED_NOT_EDITED","Relevant pre-existing untracked file; included in snapshot identity and intentionally not interpreted as production code",""
".github/ISSUE_TEMPLATE/bug_report.md","first_party_build_repository","build_startup_packaging","REPOSITORY_INPUT_INVENTORIED","Non-runtime repository input inventoried",""
".github/ISSUE_TEMPLATE/feature_request.md","first_party_build_repository","build_startup_packaging","REPOSITORY_INPUT_INVENTORIED","Non-runtime repository input inventoried",""
".github/release.yml","first_party_build_repository","build_startup_packaging","REPOSITORY_INPUT_INVENTORIED","Non-runtime repository input inventoried",""
".github/workflows/cla.yml","first_party_build_repository","build_startup_packaging","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
".github/workflows/dotnet-desktop.yml","first_party_build_repository","build_startup_packaging","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
".github/workflows/inactive-issue-janitor.yml","first_party_build_repository","build_startup_packaging","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
".github/workflows/microsoft-store.yml","first_party_build_repository","build_startup_packaging","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
".gitignore","first_party_build_repository","repository_misc","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
".gitmodules","first_party_build_repository","repository_misc","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
"CHANGELOG.md","first_party_documentation","documentation","DOCUMENT_INVENTORIED","Repository documentation inventoried; no runtime code",""
"Directory.Build.props","first_party_build_repository","build_startup_packaging","BUILD_INPUT_REVIEWED","Build/CI/repository input reviewed; relevant commands executed",""
"docs/CLA.md","first_party_documentation","documentation","DOCUMENT_INVENTORIED","Repository documentation inventoried; no runtime code",""
"docs/master-satellite-layout.md","first_party_documentation","master_satellites","READ_COMPLETE","Read/created as audit evidence; requirements/status not treated as optimization implementation",""
"docs/performance/AUDIT.md","first_party_documentation","documentation","READ_COMPLETE","Read/created as audit evidence; requirements/status not treated as optimization implementation","PERF-001;PERF-005;PERF-015"
"docs/performance/MEASUREMENTS.csv","first_party_documentation","documentation","READ_COMPLETE","Read/created as audit evidence; requirements/status not treated as optimization implementation","PERF-001;PERF-005;PERF-015"
"FancyWM.DllImports/FancyWM.DllImports.csproj","first_party_production","native_interop_generation","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.DllImports/NativeMethods.json","first_party_production","native_interop_generation","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-012"
"FancyWM.DllImports/NativeMethods.txt","first_party_production","native_interop_generation","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified","PERF-012"
"FancyWM.GUI/app.manifest","first_party_production","startup_lifecycle","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.GUI/FancyWM.GUI.csproj","first_party_production","startup_lifecycle","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.GUI/Program.cs","first_party_production","startup_lifecycle","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts.Tests/FancyWM.Layouts.Tests.csproj","first_party_test","layout_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Layouts.Tests/FlexTest.cs","first_party_test","layout_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Layouts.Tests/TestUtilities/WindowMockFactory.cs","first_party_test","layout_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed",""
"FancyWM.Layouts.Tests/Tiling/SplitPanelNodeTest.cs","first_party_test","layout_engine","SUITE_EXECUTED_FILE_INVENTORIED","Debug/Release suite executed; performance-relevant control flow and semantic guards reviewed","PERF-005"
"FancyWM.Layouts/AssemblyInfo.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
"FancyWM.Layouts/Enumerables.cs","first_party_production","layout_engine","FULL_CONTROL_FLOW_REVIEWED","Entire first-party production file/input read; callers, ownership and runtime cost classified",""
