experiment_id,snapshot_id,scenario,configuration,window_count,metric,unit,run,value,iterations,instrument,local_artifact,notes
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",1,39.5468,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",1,64,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-BASELINE","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Win32Workspace.OnRecentTimerWatch, empty recent-window list","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"elapsed","ns/op",1,2.11,250000,"Stopwatch.GetTimestamp","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"managed_allocated","bytes/op",1,0,250000,"GC.GetAllocatedBytesForCurrentThread","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen0_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen1_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
"EXP-WINMAN-RECENT-IDLE-GUARD-MODEL","FWM-PERF-20260905-4fb943b-tree48c574b-u3","Empty recent-window fast-path guard model","Release; net10.0-windows7.0; x64; no debugger; DOTNET_TieredCompilation=0",0,"gen2_collections","count/run",1,0,250000,"GC.CollectionCount","artifacts/performance/FWM-PERF-20260905-4fb943b-tree48c574b-u3/performance-harness-tiered-off.csv","Raw ignored local artifact; managed isolated harness"
